la.'ti:.n,/ˈla.dʲən/,Latīna,Laiten
la.'ti:.n,/ˈla.dʲən/,Latīnus,Latin
la.'tro:n,/ˈla.drəN/,latrōnem,latrann
law.'ren.ti.,/ˈlaw.rʲən.tə.ðʲe,Laurentium,laurent\ide
'lak.s,/ˈlaxs/,laxus,lax
'le.g,/ˈlʲe:.ɣəðʲ/,legō,lég\aid
le.'gen.d,/ˈlʲe:.ɣʲənd/,legendum,léigend
'le.gi.o:,/ˈle.ɣʲo:n/,legiōnem,leigeón
'le.gi.o:,/ˈle:.gʲo:n/,legiōnem,léigeón
'le.o:,/ˈlʲew/,leō,leo
le.wi.'a:.tan,/ˈlʲe.vʲə.ða:n/,Leviāthan,Lebedán
le:.wi:.t,,Lēvītēs,Leuit\e
'li.ba.n,/lʲew.an/,Libanus,leuan
'li.br,/ˈlʲe.vər/,librum,lebor
'li.ket,/ˈlʲe.gʲəd/,licet,lecet
ˈli.gu.r,/ˈlʲi.ɣər.ðe/,Ligurēs,ligor\dae
'li:.n,/ˈlʲi:n.de/,līnum,lín\dae
'li:.ne.,/ˈlʲi:.nʲəx/,līnea,lín\ech
'li.kwi.d,/ˈlʲex.ðəɣʲ.θʲe/,liquidus,lechd\aig\the
'li:.t,/ˈlʲi:θ/,lītus,líth
li.'ta.ni.,/ˈlʲi.da:n/,litania,litán
'lit.te.r,/ˈlʲi.tʲər/,littera,litter
'lo.k,/lˈog/,locus,loc
'loŋ.g,/ˈloŋ/,(nāvis) longa,long 1
lo:.'ri:.k,/ˈlu:.rəx/,lōrīca,lúirech
'lu.ka,/lu.kəs/,Lucas,Lucas
lu:.'ker.n,/ˈlo:.xərn/,*lūcerna,lócharn
'lu:.ki.fer,/lu.kʲə.fʲər/,lūcifer,Lucifer
lu.'na:.r,/ˈlu.na:rʲ/,*lunāris,lunáir
mak.ka.'be:.,/ˈma.xəv.ðe/,Maccabaeus,machab\dae
mak.ka.ˈbe:.,/ˈma.xə.ve/,Maccabaeus,Machabae
ma.ke.'do.ni.,/ˈma.kʲə.ðo:n.de/,Macedonia,Maccidón\dae
ma.'ke.ri.,/ˈma.gre/,maceria,macrae
'ma.ku.l,/ˈma:.xəLʲ/,macula,máchaill
ˈma.ku.l,/ˈmo.gəl/,macula,mocol
ma.'gis.ter,/ˈma.ɣʲə.ʃtʲər/,magister,maigister
mal.'di:.k,/ˈmal.də.xəðʲ/,*maldīcō,maldach\aid
mal.'dik.ti.o:,/ˈmal.dəxt/,*maldictiō,maldacht
ma.na.'ki:.,/ˈma.nəx/,*manachus,manach
'ma.na.k,/ˈmanʲ.xʲe/,*manachīum,mainche
ma.'nas.se,/ma.Nʲə.ʃe/,Manassēs,Mannese
'ma.ni.a,/ˈma:.nʲə/,mania,máinia
'man.n,/ˈmaN/,manna,mann
ma.'ri:.,/ˈma.rʲe/,Marīa,Maire
ma.ˈri:.a,/maˈrʲi.a/,Marīa,Maria
'ma:r.k,/ˈmark/,Mārcus,Marc
ma:r.'kel.l,/ˈmar.kəLʲ/,Mārcellus,Marcill
mar.'do.ke.,/ˈmor.də.xʲe.i/,Mardocheus,Mordochei
mar.ga.'ri:.t,/ˈmar.gə.rʲe:d/,margarīta,margarét
ˈmar.gi.n,/ˈmar.gən/,marginem,margan
'mar.mor,/ˈmar.mər/,marmor,marmar
'ma:r.t,/ˈmarʲtʲ/,(diēs) mārtis,mairt
'mar.t,/ˈmart/,Martis,Mart
'mar.tir,/ˈmar.tər/,martyr,martar
'mas.ku.l,/ˈma.skul/,masculus,mascul
mas.ku.'li:.n,/ˈma.sku.lʲən.de/,masculīnus,masculin\dae
'mas.s,/ˈmas/,massa,mass
ma'ti:.n,/ˈma.dən/,(hōra) matīna,matan
'me:.d,/ˈmʲeð/,Mēdus,Med 2
ˈme.di.k,/ˈmʲi.ðəx/,medicus,midach
